userId,productId,productName,category,subcategory,price,action,timestamp
66bcb2a87ace238e8cdd5f40,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25,purchased,2024-10-14 10:57:19
67601e78b682385a7b8c2bf8,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-11-28 06:11:34
66bcb2a87ace238e8cdd5f40,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,added_to_cart,2024-11-14 02:02:16
67601fc3b682385a7b8c2c25,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25,added_to_cart,2024-09-26 20:24:58
67601e78b682385a7b8c2bf8,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,purchased,2024-11-15 04:53:45
66a0f2c7a56de48f22d0ca08,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,added_to_cart,2024-11-26 06:32:13
67601fe2b682385a7b8c2c43,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_cart,2024-10-31 08:49:24
67601ff3b682385a7b8c2c52,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,added_to_cart,2024-11-30 10:14:23
67601e67b682385a7b8c2be9,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_favorite,2024-10-14 17:34:39
67601e67b682385a7b8c2be9,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_favorite,2024-09-27 16:15:27
66bcb2a87ace238e8cdd5f40,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_cart,2024-10-22 14:34:23
67601e9fb682385a7b8c2c16,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,added_to_favorite,2024-12-05 02:50:08
66a0f2c7a56de48f22d0ca08,6632083d33f7e8cb27162c37,Explorer Backpack Black,Bags & Backpacks,Backpacks,50,purchased,2024-09-29 20:57:23
67601fc3b682385a7b8c2c25,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,purchased,2024-10-16 05:14:43
67601ff3b682385a7b8c2c52,6632080a33f7e8cb27162c33,Black Towel for Fitness,Fitness accessories,Towels,6,purchased,2024-10-06 10:09:19
66bcb2a87ace238e8cdd5f40,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25,purchased,2024-10-09 21:07:55
67601e89b682385a7b8c2c07,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,added_to_cart,2024-12-10 21:08:37
66bcb2a87ace238e8cdd5f40,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_favorite,2024-10-31 18:36:47
67601e9fb682385a7b8c2c16,663208a333f7e8cb27162c3f,Women Limitless High Waist Leggings Black,Clothes for women,Sport pants,25,added_to_favorite,2024-10-22 05:55:52
67601e78b682385a7b8c2bf8,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,purchased,2024-11-23 02:52:19
66bcb2a87ace238e8cdd5f40,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,purchased,2024-10-04 08:52:21
67601fe2b682385a7b8c2c43,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-11-01 15:14:05
67601fc3b682385a7b8c2c25,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,purchased,2024-11-23 13:37:26
67601fe2b682385a7b8c2c43,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,purchased,2024-10-19 05:43:26
66a0f2c7a56de48f22d0ca08,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-12-04 21:58:59
67601e9fb682385a7b8c2c16,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_favorite,2024-09-24 04:19:16
67601e78b682385a7b8c2bf8,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,purchased,2024-10-18 07:20:35
67601e78b682385a7b8c2bf8,6632083d33f7e8cb27162c37,Explorer Backpack Black,Bags & Backpacks,Backpacks,50,added_to_favorite,2024-12-12 15:33:06
67601fd3b682385a7b8c2c34,663208a333f7e8cb27162c3f,Women Limitless High Waist Leggings Black,Clothes for women,Sport pants,25,added_to_favorite,2024-10-01 07:27:10
67601e78b682385a7b8c2bf8,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,purchased,2024-10-13 06:19:22
67601ff3b682385a7b8c2c52,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,purchased,2024-10-26 12:45:40
67601e9fb682385a7b8c2c16,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-11-06 05:22:22
67601fd3b682385a7b8c2c34,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,added_to_cart,2024-12-10 08:36:20
66bcb2a87ace238e8cdd5f40,663208a333f7e8cb27162c3f,Women Limitless High Waist Leggings Black,Clothes for women,Sport pants,25,purchased,2024-10-03 06:52:32
67601fc3b682385a7b8c2c25,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,added_to_cart,2024-10-25 02:39:48
67601fc3b682385a7b8c2c25,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,added_to_favorite,2024-11-08 03:00:58
67601e89b682385a7b8c2c07,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,added_to_cart,2024-11-22 19:15:56
66bcb2a87ace238e8cdd5f40,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,added_to_favorite,2024-12-01 09:03:19
67601e9fb682385a7b8c2c16,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,added_to_favorite,2024-10-29 23:10:01
67601e67b682385a7b8c2be9,6632083d33f7e8cb27162c37,Explorer Backpack Black,Bags & Backpacks,Backpacks,50,added_to_cart,2024-11-26 20:41:13
67601e89b682385a7b8c2c07,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,added_to_cart,2024-11-06 01:04:28
66bcb2a87ace238e8cdd5f40,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,purchased,2024-11-06 01:01:50
67601ff3b682385a7b8c2c52,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-10-24 01:22:22
67601e67b682385a7b8c2be9,6632086d33f7e8cb27162c3b,Compression Tshirt Hg Armour Comp White Under Armour,Accessory depending on the activity,Running,5,purchased,2024-12-15 22:20:07
66a0f2c7a56de48f22d0ca08,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,added_to_favorite,2024-11-04 04:37:27
66a0f2c7a56de48f22d0ca08,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,added_to_favorite,2024-12-12 01:39:39
67601e89b682385a7b8c2c07,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-10-11 03:21:43
67601ff3b682385a7b8c2c52,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,added_to_cart,2024-11-27 19:33:31
67601fd3b682385a7b8c2c34,6632076933f7e8cb27162c28,Black Shaker 700ml - GymBeam,Fitness accessories,Shakers,4,purchased,2024-12-01 02:36:50
67601e67b682385a7b8c2be9,663208a333f7e8cb27162c3f,Women Limitless High Waist Leggings Black,Clothes for women,Sport pants,25,purchased,2024-11-02 21:34:43
67601fe2b682385a7b8c2c43,663208a333f7e8cb27162c3f,Women Limitless High Waist Leggings Black,Clothes for women,Sport pants,25,added_to_favorite,2024-11-07 23:39:34
67601ff3b682385a7b8c2c52,6632059f33f7e8cb27162c14,Cropped Tshirt Serenety Beastpink Olivine,Clothes for women,T-Shirt,20,added_to_cart,2024-11-09 02:44:29
67601e78b682385a7b8c2bf8,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,added_to_favorite,2024-11-21 23:14:04
67601e9fb682385a7b8c2c16,6632083d33f7e8cb27162c37,Explorer Backpack Black,Bags & Backpacks,Backpacks,50,purchased,2024-10-31 14:07:46
66bcb2a87ace238e8cdd5f40,663207d433f7e8cb27162c2f,Shaker Steel 750 ml - GymBeam,Fitness accessories,Shakers,6,added_to_cart,2024-09-23 23:16:54
67601e9fb682385a7b8c2c16,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25,purchased,2024-11-10 12:49:16
67601e78b682385a7b8c2bf8,66320a2433f7e8cb27162c59,Hexagonal Dumbbell,Workout home,Dumbbells,34,added_to_cart,2024-09-18 10:50:47
66bcb2a87ace238e8cdd5f40,6632093e33f7e8cb27162c4c,Compression Tshirt Hg Armour Comp White Under Armour,Clothes for men,T-Shirt,25,added_to_cart,2024-09-24 07:08:40
66a0f2c7a56de48f22d0ca08,6632080a33f7e8cb27162c33,Black Towel for Fitness,Fitness accessories,Towels,6,added_to_cart,2024-11-06 16:09:40
67601e78b682385a7b8c2bf8,6630bd3db1cb58b5e3f01a2e,Jump rope,Work home,Jump ropes,5,purchased,2024-11-03 21:11:17
